Iteration;car_travel;car_wait;stageActivity_travel;stageActivity_wait
0;59095;0;0;0
1;57889;0;0;0
2;57606;0;0;0
3;57437;0;0;0
4;57343;0;0;0
5;57307;0;0;0
6;57259;0;0;0
7;57329;0;0;0
8;57334;0;0;0
9;57327;0;0;0
10;57495;0;0;0
